v_id;role
DTL$RNCO_NSO_PURCB_0420421_A_VAL_FCT;SR_0420421_R_A_tab.2,SR_0420421_R_A_tab.2_1
DTL$RNCO_NSO_PURCB_0420421_K_FCT;SR_0420421_R_K
DTL$RNCO_NSO_PURCB_0420421_P_REF_FCT;SR_0420421_R_P_tab.1
DTL$RNCO_NSO_PURCB_0420421_P_VAL_FCT;SR_0420421_R_P_tab.2,SR_0420421_R_P_tab.2_1
DTL$RNCO_NSO_PURCB_0420421_REG_SVED_FCT;SR_0420421_Reg_Sved
DTL$RNCO_NSO_PURCB_0420421_SVED_FCT;SR_0420421_Sved
DTL$RNCO_NSO_PURCB_0420422_1_FCT;SR_0420422_r1_1,SR_0420422_r1_2,SR_0420422_r1_3
DTL$RNCO_NSO_PURCB_0420422_2_FCT;SR_0420422_r2_1,SR_0420422_r2_2,SR_0420422_r2_3
DTL$RNCO_NSO_PURCB_0420422_3_TB4_FCT;SR_0420422_r3_1,SR_0420422_r3_2,SR_0420422_r3_3
DTL$RNCO_NSO_PURCB_0420423_0_FCT;SR_0420423_01
DTL$RNCO_NSO_PURCB_0420423_1_1_1_FCT;SR_0420423_R1_P1
DTL$RNCO_NSO_PURCB_0420423_1_1_2_FCT;SR_0420423_R1_P2
DTL$RNCO_NSO_PURCB_0420423_2_FCT;SR_0420423_R2
DTL$RNCO_NSO_PURCB_0420424_1_FCT;SR_0420424_r_1,SR_0420424_r_1_DS,SR_0420424_r_1_Drag_Met,SR_0420424_r_1_Inoe
DTL$RNCO_NSO_PURCB_0420424_2_FCT;SR_0420424_r_2,SR_0420424_r_2_1,SR_0420424_r_2_DS,SR_0420424_r_2_DS_2,SR_0420424_r_2_Drag_Met,SR_0420424_r_2_Drag_Met_2,SR_0420424_r_2_Inoe,SR_0420424_r_2_Inoe_2
DTL$RNCO_NSO_PURCB_0420425_1_1_1_FCT;SR_0420425_R1
DTL$RNCO_NSO_PURCB_0420425_1_1_2_FCT;SR_0420425_R1_DS
DTL$RNCO_NSO_PURCB_0420425_1_1_3_FCT;SR_0420425_R1_Inoe
DTL$RNCO_NSO_PURCB_0420425_1_1_4_FCT;SR_0420425_R1_DragMet
DTL$RNCO_NSO_PURCB_0420425_2_FCT;SR_0420425_R2
DTL$RNCO_NSO_PURCB_0420425_3_FCT;SR_0420425_R3,SR_0420425_R3_DS,SR_0420425_R3_DragMet,SR_0420425_R3_inoe
DTL$RNCO_NSO_PURCB_0420426_FCT;SR_0420426
DTL$RNCO_NSO_PURCB_0420427_FCT;SR_0420427_1,SR_0420427_2,SR_0420427_3,SR_0420427_4,SR_0420427_5
DTL$RNCO_NSO_PURCB_0420428_FCT;sr_nfo_5
DTL$RNCO_NSO_PURCB_0420429_0_FCT;SR_0420429_1,SR_0420429_10,SR_0420429_11,SR_0420429_12,SR_0420429_13,SR_0420429_14,SR_0420429_15,SR_0420429_16,SR_0420429_17,SR_0420429_18,SR_0420429_19,SR_0420429_2,SR_0420429_20,SR_0420429_21,SR_0420429_22,SR_0420429_23,SR_0420429_24,SR_0420429_3,SR_0420429_4,SR_0420429_5,SR_0420429_6,SR_0420429_7,SR_0420429_8,SR_0420429_9
DTL$RNCO_NSO_PURCB_0420429_SPOD_FCT;SR_0420429_SPOD_1,SR_0420429_SPOD_10,SR_0420429_SPOD_11,SR_0420429_SPOD_12,SR_0420429_SPOD_13,SR_0420429_SPOD_14,SR_0420429_SPOD_15,SR_0420429_SPOD_16,SR_0420429_SPOD_17,SR_0420429_SPOD_18,SR_0420429_SPOD_19,SR_0420429_SPOD_2,SR_0420429_SPOD_20,SR_0420429_SPOD_21,SR_0420429_SPOD_22,SR_0420429_SPOD_23,SR_0420429_SPOD_24,SR_0420429_SPOD_3,SR_0420429_SPOD_4,SR_0420429_SPOD_5,SR_0420429_SPOD_6,SR_0420429_SPOD_7,SR_0420429_SPOD_8,SR_0420429_SPOD_9
DTL$RNCO_NSO_PURCB_0420430_1_FCT;SR_0420430_R1
DTL$RNCO_NSO_PURCB_0420430_2_FCT;SR_0420430_R2,SR_0420430_R2_2,SR_0420430_R2_3
DTL$RNCO_NSO_PURCB_0420431_10_FCT;SR_0420431_q_r10,SR_0420431_q_r10_2
DTL$RNCO_NSO_PURCB_0420431_1_1_1_FCT;SR_0420431_R1_R1_P1_1
DTL$RNCO_NSO_PURCB_0420431_1_1_2_FCT;SR_0420431_R1_R1_P1_2,SR_0420431_R1_R1_P1_2_2,SR_0420431_R1_R1_P1_2_3,SR_0420431_R1_R1_P1_2_4
DTL$RNCO_NSO_PURCB_0420431_1_1_3_FCT;SR_0420431_R1_R1_P1_3
DTL$RNCO_NSO_PURCB_0420431_2_FCT;SR_0420431_R2_9_R2,SR_0420431_R2_9_R2_2
DTL$RNCO_NSO_PURCB_0420431_3_FCT;SR_0420431_R2_9_R3,SR_0420431_R2_9_R3_2,SR_0420431_R2_9_R3_3,SR_0420431_R2_9_R3_4
DTL$RNCO_NSO_PURCB_0420431_4_FCT;SR_0420431_R2_9_R_4,SR_0420431_R2_9_R_4_2
DTL$RNCO_NSO_PURCB_0420431_5_FCT;SR_0420431_R2_9_R_5,SR_0420431_R2_9_R_5_2
DTL$RNCO_NSO_PURCB_0420431_6_FCT;SR_0420431_R2_9_R_6,SR_0420431_R2_9_R_6_2
DTL$RNCO_NSO_PURCB_0420431_7_FCT;SR_0420431_R2_9_R_7,SR_0420431_R2_9_R_7_2,SR_0420431_R2_9_R_7_3,SR_0420431_R2_9_R_7_4,SR_0420431_R2_9_R_7_5,SR_0420431_R2_9_R_7_6
DTL$RNCO_NSO_PURCB_0420431_8_FCT;SR_0420431_R2_9_R_8,SR_0420431_R2_9_R_8_2
DTL$RNCO_NSO_PURCB_0420431_9_FCT;SR_0420431_R2_9_R_9,SR_0420431_R2_9_R_9_2
DTL$RNCO_NSO_PURCB_0420432_1_FCT;sr_nfo_2_r1
DTL$RNCO_NSO_PURCB_0420432_2_FCT;sr_nfo_2_r2
DTL$RNCO_NSO_PURCB_0420432_3_1_FCT;sr_nfo_2_r3_2
DTL$RNCO_NSO_PURCB_0420432_3_FCT;sr_nfo_2_r3
DTL$RNCO_NSO_PURCB_0420432_4_FCT;sr_nfo_2_r4,sr_nfo_2_r4_2
DTL$RNCO_NSO_PURCB_0420432_5_FCT;sr_nfo_2_r5
DTL$RNCO_NSO_PURCB_0420432_6_FCT;sr_nfo_2_r6
DTL$RNCO_NSO_PURCB_0420433_1_FCT;sr_nfo_1_r1,sr_nfo_1_r1_2
DTL$RNCO_NSO_PURCB_0420433_2_FCT;sr_nfo_1_r2,sr_nfo_1_r2_2,sr_nfo_1_r2_3
DTL$RNCO_NSO_PURCB_0420433_3_ITOG_FCT;sr_nfo_1_r3_itog
DTL$RNCO_NSO_PURCB_0420433_3_OSN_FCT;sr_nfo_1_r3,sr_nfo_1_r3_2
DTL$RNCO_NSO_PURCB_0420433_4_FCT;sr_nfo_1_r4
DTL$RNCO_NSO_PURCB_0420443_FCT;SR_0420443,SR_0420443_2
DTL$RNCO_NSO_PURCB_0420444_FCT;SR_0420444,SR_0420444_1
DTL$RNCO_NSO_PURCB_0420445_FCT;SR_0420445,SR_0420445_1
DTL$RNCO_NSO_PURCB_0420446_FCT;SR_0420446,SR_0420446_1
DTL$RNCO_NSO_PURCB_0420447_FCT;SR_0420447,SR_0420447_1
DTL$RNCO_NSO_PURCB_0420448_1_FCT;SR_0420448_Data,SR_0420448_r1,SR_0420448_r2
DTL$RNCO_NSO_PURCB_0420448_2_FCT;SR_0420448_r3
DTL$RNCO_NSO_PURCB_0420449_FCT;SR_0420449
DTL$RNCO_NSO_PURCB_0420450_FCT;SR_0420450
DTL$RNCO_NSO_PURCB_0420451_FCT;SR_0420451
DTL$RNCO_NSO_PURCB_0420452_FCT;SR_0420452
DTL$RNCO_NSO_PURCB_0420453_FCT;SR_0420453,SR_0420453_2
DTL$RNCO_NSO_PURCB_0420454_FCT;SR_0420454,SR_0420454_1,SR_0420454_2,SR_0420454_3,SR_0420454_4,SR_0420454_5,SR_0420454_6,SR_0420454_7,SR_0420454_8
DTL$RNCO_NSO_PURCB_0420454_ITOG_FCT;SR_0420454_tab,SR_0420454_tab_1
DTL$RNCO_NSO_PURCB_0420454_TAB_1_FCT;SR_0420454_rasshifr_1
DTL$RNCO_NSO_PURCB_0420454_TAB_2_FCT;SR_0420454_rasshifr_2
DTL$RNCO_NSO_PURCB_0420454_TAB_3_FCT;SR_0420454_rasshifr_3
DTL$RNCO_NSO_PURCB_0420454_TAB_4_FCT;SR_0420454_rasshifr_4_1
DTL$RNCO_NSO_PURCB_0420455_1_FCT;SR_0420455
DTL$RNCO_NSO_PURCB_0420455_1_T5_FCT;SR_0420455
DTL$RNCO_NSO_PURCB_0420455_2_FCT;SR_0420455_R2
DTL$RNCO_NSO_PURCB_0420455_3_1_1_FCT;SR_0420455_R3_1_1
DTL$RNCO_NSO_PURCB_0420455_3_1_FCT;SR_0420455_R3
DTL$RNCO_NSO_PURCB_0420455_3_2_FCT;SR_0420455_R3_2
DTL$RNCO_NSO_PURCB_0420455_3_3_FCT;SR_0420455_R3_3
DTL$RNCO_NSO_PURCB_0420455_3_4_FCT;SR_0420455_R3_4
DTL$RNCO_NSO_PURCB_0420455_4_1_FCT;SR_0420455_R4_1
DTL$RNCO_NSO_PURCB_0420455_4_2_FCT;SR_0420455_R4_2
DTL$RNCO_NSO_PURCB_0420455_4_3_1_FCT;SR_0420455_R4_3_1
DTL$RNCO_NSO_PURCB_0420455_4_3_FCT;SR_0420455_R4_3
DTL$RNCO_NSO_PURCB_0420455_4_4_FCT;SR_0420455_R4_4
DTL$RNCO_NSO_PURCB_0420455_4_5_FCT;SR_0420455_R4_5
DTL$RNCO_NSO_PURCB_0420455_4_6_1_FCT;SR_0420455_R4_6_1
DTL$RNCO_NSO_PURCB_0420455_4_6_2_FCT;SR_0420455_R4_6_2
DTL$RNCO_NSO_PURCB_0420455_4_6_FCT;SR_0420455_R4_6
DTL$RNCO_NSO_PURCB_0420455_5_FCT;SR_0420455_R5
DTL$RNCO_NSO_PURCB_0420455_REESTR_CZB_FCT;SR_Reestr_CZb
DTL$RNCO_NSO_PURCB_0420456_FCT;sr_nfo_4,sr_nfo_4_pz
DTL$RNCO_NSO_PURCB_0420458_09_23_1_FCT;SR_0420458_r1,SR_0420458_r1_1,SR_0420458_r1_2,SR_0420458_r1_3
DTL$RNCO_NSO_PURCB_0420458_09_23_2_FCT;SR_0420458_r2
DTL$RNCO_NSO_PURCB_0420458_09_23_3_FCT;SR_0420458_r3,SR_0420458_r3_1
DTL$RNCO_NSO_PURCB_0420458_09_23_4_FCT;SR_0420458_r4
DTL$RNCO_NSO_PURCB_0420458_09_23_5_FCT;SR_0420458_r5_m,SR_0420458_r5_m_1,SR_0420458_r5_q,SR_0420458_r5_q_1
DTL$RNCO_NSO_PURCB_0420458_09_23_REESTR_FCT;SR_0420458_Reestr_CZb
