"role_definition","role_table"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_NPF_AO_39_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_NPF_AO_39_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_NPF_AO_39_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_NPF_AO_39_open_comparative"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_NPF_AO_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_NPF_AO_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_NPF_AO_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_NPF_AO_open_comparative"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_OtherNfo_0420904","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_OtherNfo_0420904"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_OtherNfo_0420904","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_OtherNfo_0420904_comparative"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_OtherNfo_0420904_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_OtherNfo_0420904_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_OtherNfo_0420904_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_OtherNfo_0420904_open_comparative"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_OtherNfo_0420914","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_OtherNfo_0420914"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_OtherNfo_0420914","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_OtherNfo_0420914_comparative"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_OtherNfo_0420914_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_OtherNfo_0420914_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_OtherNfo_0420914_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_OtherNfo_0420914_open_comparative"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_PURCB","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_PURCB"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_PURCB","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_PURCB_comparative"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_PURCB_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_PURCB_open"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_PURCB_open","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/4_FR_CF_PURCB_open_comparative"
"http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/5_FR_OCZI_JTINS","http://www.cbr.ru/xbrl/bfo/rep/2024-11-01/tab/5_FR_OCZI_JTINS"
